Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,richness2,robbins,simpson,shannon_e,shannon_2,shannon_10,flyvbjerg,mirror,mirrorns,logfit,logfitns,logfitmu,logfitmuns
A,0.107,0.0179,137.6,0.959,0.783,31.1,44.4,2484,127,108,0.148,0.0407,3.79,5.47,1.65,125.7,184,184,136,158,1.3,0
A,0.0753,0.0209,157,0.97,0.813,39.7,51.9,2484,129,102,0.208,0.0305,3.95,5.7,1.72,110.9,175,175,168,168,0.1,0.1
B,0.107,0.0122,193.8,0.943,0.705,21.3,30.3,2484,126,84,0.331,0.0567,3.41,4.92,1.48,102.5,210,146,126,126,-1,-1
B,0.118,0.0109,179.1,0.934,0.672,18.4,27.1,2484,135,93,0.309,0.0658,3.3,4.76,1.43,121.1,228,152,130,130,-0.9,-0.9
B,0.137,0.0124,153.3,0.941,0.705,20.9,30.9,2484,130,98,0.244,0.0591,3.43,4.95,1.49,141.3,162,162,124,123,0.3,0.2
B,0.149,0.00891,176.3,0.924,0.644,15.5,22.1,2484,123,78,0.363,0.0764,3.1,4.47,1.35,131.9,201,129,135,135,-1,-1
B,0.133,0.00869,179.3,0.924,0.635,15.3,21.6,2484,126,81,0.354,0.076,3.07,4.43,1.33,106,207,129,135,135,-1,-1
C,0.107,0.0156,155.3,0.951,0.743,25.8,38.7,2484,137,108,0.21,0.0492,3.66,5.27,1.59,194.3,185,185,150,160,0.7,0.2
C,0.149,0.00956,156,0.923,0.659,15.8,23.8,2484,122,88,0.276,0.0768,3.17,4.57,1.38,118.2,210,149,133,133,-0.9,-0.9
C,0.128,0.0114,178.5,0.938,0.686,19.4,28.3,2484,131,92,0.295,0.0621,3.34,4.82,1.45,115,223,157,147,58,0.4,1
C,0.101,0.0141,150.8,0.95,0.732,24.3,35,2484,128,101,0.209,0.05,3.55,5.13,1.54,119.5,111,111,135,98,1,1
C,0.116,0.0155,176.3,0.951,0.744,25.9,38.4,2484,135,101,0.25,0.049,3.65,5.26,1.58,113.4,236,174,154,154,-1,-1
A,0.18,0.0134,138.9,0.936,0.733,21.2,33.2,2484,119,93,0.217,0.0638,3.5,5.05,1.52,155.4,212,163,137,137,-1,-1
A,0.162,0.00905,145.6,0.926,0.673,16.1,22.5,2484,102,74,0.272,0.0742,3.11,4.49,1.35,78.3,176,124,104,104,-0.4,-0.4
A,0.0773,0.019,138.7,0.965,0.8,34.9,47.2,2484,124,103,0.168,0.035,3.86,5.56,1.67,139.7,135,135,144,118,1.4,1.8
A,0.14,0.0134,152.4,0.942,0.72,21.9,33.4,2484,131,101,0.227,0.0577,3.51,5.06,1.52,159.1,232,172,124,124,-0.7,-0.7
A,0.141,0.00878,129,0.921,0.665,15.1,21.8,2484,103,76,0.26,0.0792,3.08,4.45,1.34,98,179,129,104,104,-0.9,-0.9
A,0.128,0.0177,155.2,0.956,0.769,29.8,44.1,2484,137,110,0.196,0.0437,3.79,5.46,1.64,148.9,189,189,123,132,0.7,0.1
A,0.108,0.0177,212.1,0.958,0.77,30.3,43.9,2484,136,99,0.27,0.0419,3.78,5.45,1.64,110,235,182,166,166,-1,-1
