,"F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150"
"Bacteroidia","0.520130576713818","0.323332657612","0.574863186373975","0.6801709719383","0.480213303396014","0.601656626506024","0.754117927906423","0.509082853345149","0.515806988352746","0.65757448594209","0.708132045088567","0.658973338639078","0.703465623253214","0.758371040723983","0.574489287493772","0.715363400389359","0.690801740211311","0.620533999231656","0.592740985152015"
"Bacilli","0.0191201616664076","0.0634502331238597","0.0270552788538401","0.0825125441367774","0.0378894190289082","0.0772590361445783","0.0403437574600143","0.0640230394328755","0.040432612312812","0.0549727234578262","0.0692431561996779","0.0596896140071628","0.10424818334265","0.085972850678733","0.0592924763328351","0.0742212848799481","0.0630826600372903","0.078659239339224","0.0348809804383691"
"Clostridia","0.406342297528374","0.564565173322525","0.354916067146282","0.141795205352165","0.449340443446534","0.296234939759039","0.176414418715684","0.39587948604342","0.415474209650585","0.245069240453215","0.168276972624796","0.236768802228418","0.139742873113473","0.11782805429864","0.345291479820625","0.160285528877352","0.183343691733997","0.268440261237036","0.345274569879801"
"Gammaproteobacteria","0.00186538162599099","0.00182444759781066","0.00116829613232491","0.000371678126742242","0.00168397417906259","0.00135542168674699","0.00095488183337312","0.00177226406734603","0.00133111480865225","0.000419639110365086","0.000402576489533011","0.000397930760047752","0.000838457238680826","0.00180995475113121","0.000249128051818635","0.000405580791693705","0.000621504039776258","0.00019208605455244","0.000471364600518502"
"other","0.0198974040105704","0.028785728765457","0.031605484842895","0.0804683144396951","0.0151557676115633","0.0153614457831325","0.0152781093339699","0.0128489144882588","0.0149750415973378","0.0140579101972304","0.0152979066022544","0.0222841225626741","0.00894354387926215","0.0103167420814479","0.00847035376183357","0.0158176508760544","0.0210275533457634","0.00979638878217442","0.0117841150129625"
"Erysipelotrichia","0.0127467744442717","0","0.00104531759208018","0.00464597658427801","0.00926185798484423","0.000150602409638554","0.00071616137502984","0.00177226406734604","0.000499168053244593","0.022031053294167","0.0217391304347826","0.0155192996418623","0.0321408608160984","0.0215384615384615","0.00921773791728948","0.0258760545100584","0.029417857882743","0.0173837879369958","0.00730615130803677"
"Alphaproteobacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coriobacteriia","0.000621793875330328","0.000810865599026961","0.000922339051835454","0.000929195316855603","0.00112264945270839","0.000602409638554216","0.00071616137502984","0.000886132033673017","0.000665557404326123","0.00104909777591272","0.000402576489533011","0.000795861520095504","0.00167691447736165","0.000542986425339367","0.00149476831091181","0.00170343932511356","0.00124300807955252","0.00153668843641952","0.00306386990337025"
"Chloroplast","0.000466345406497746","0.00020271639975674","0.000307446350611818","0.000743356253484482","0","0.000451807228915663","0.00047744091668656","0.0024368630926008","0.000998336106489185","0","0.00201288244766506","0","0","0.000180995475113122","0","0.000243348475016223","0.000207168013258753","0","0"
"Verrucomicrobiae","0.00155448468832582","0","0.000430424890856546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
